IATA_CODE,AIRLINE
1,UA,United Air Lines Inc.,1/30/2023,1/30/2023
2,AA,American Airlines Inc.,1/30/2023,1/30/2023
3,US,US Airways Inc.,1/30/2023,1/30/2023
4,F9,Frontier Airlines Inc.,1/30/2023,1/30/2023
5,B6,JetBlue Airways,1/30/2023,1/30/2023
6,OO,Skywest Airlines Inc.,1/30/2023,1/30/2023
7,AS,Alaska Airlines Inc.,1/30/2023,1/30/2023
8,NK,Spirit Air Lines,1/30/2023,1/30/2023
9,WN,Southwest Airlines Co.,1/30/2023,1/30/2023
10,DL,Delta Air Lines Inc.,1/30/2023,1/30/2023
11,EV,Atlantic Southeast Airlines,1/30/2023,1/30/2023
12,HA,Hawaiian Airlines Inc.,1/30/2023,1/30/2023
13,MQ,American Eagle Airlines Inc.,1/30/2023,1/30/2023
14,VX,Virgin America,1/30/2023,1/30/2023
